November2003,58.2,14.8,48.8,54.6,46.8,33.0,43.8,51.5,68.6,59.4,28.2,44.8,46.0,35.9,42.2,50.5,61.9,35.4,50.6,42.8,37.7,26.6,58.6,46.3,24.0,34.7,35.9,37.4,48.5,44.6,40.5,55.7,19.6,46.4,50.3,34.9,44.7,45.2,58.6,27.6,52.8,58.0,34.1,36.5,51.5,33.3,47.8,32.9,24.8
December2003,44.0,4.6,43.0,42.3,44.0,28.6,32.4,37.8,56.1,44.3,28.1,33.8,33.5,28.2,35.3,37.0,49.4,23.0,36.5,31.4,28.6,20.6,44.9,36.2,25.1,30.5,33.3,24.2,35.5,36.8,27.5,40.3,20.3,32.8,42.2,34.1,30.7,34.7,43.0,26.6,38.9,49.1,30.3,21.8,36.8,31.6,32.8,24.8,24.8
January2023,51.4,10.9,40.2,46.4,42.6,23.7,37.0,43.5,61.8,51.5,23.4,34.4,36.4,24.2,33.0,42.4,55.9,24.2,42.1,35.4,28.2,15.1,52.4,37.2,22.9,24.8,29.3,29.1,41.2,35.6,30.5,46.7,13.1,36.7,42.4,32.0,35.9,38.1,50.4,20.0,44.9,51.6,26.2,27.2,42.6,33.2,39.0,23.0,19.6
February2023,56.5,6.0,41.8,48.8,42.7,25.0,33.6,42.8,67.4,58.1,23.9,36.3,38.3,26.2,35.2,45.7,58.4,18.2,42.9,32.3,26.5,14.1,55.6,39.8,23.3,26.9,30.9,24.3,39.2,37.2,28.1,51.2,14.5,38.6,43.9,32.4,35.7,34.5,56.1,22.1,48.6,52.1,26.5,22.9,46.2,32.4,41.6,21.7,20.0
March2023,58.6,13.7,47.2,53.1,44.1,30.5,38.8,45.6,69.0,59.3,27.8,40.9,40.9,34.0,42.1,47.3,63.6,30.2,45.1,37.7,31.4,21.2,59.6,43.8,23.4,33.6,33.7,32.3,42.3,44.0,32.6,52.1,14.0,40.6,50.4,33.3,37.8,39.9,57.0,23.9,50.5,60.4,32.3,30.2,47.4,36.6,43.0,28.7,23.8
April2023,63.2,16.8,58.4,60.3,55.3,41.3,51.0,58.7,73.1,64.1,38.8,53.4,52.8,49.4,54.6,56.8,66.2,41.7,58.0,49.9,44.9,38.3,63.7,56.1,39.2,48.1,46.7,45.0,55.4,52.1,48.0,60.2,34.6,52.2,58.6,42.8,51.7,51.0,63.3,41.3,57.8,64.6,44.4,44.9,57.8,43.2,53.9,43.4,36.4
May2023,70.2,39.8,66.5,70.1,61.9,54.5,56.9,61.8,76.1,69.5,54.3,64.2,62.0,62.8,65.8,64.0,74.9,51.3,61.0,56.2,55.0,59.2,72.5,66.1,56.3,62.0,57.4,52.8,59.4,62.4,53.8,64.1,60.0,59.4,69.1,55.2,56.2,56.3,67.2,61.2,66.0,73.7,57.8,51.8,61.4,58.2,58.4,56.8,53.0
June2023,76.6,49.9,72.4,77.3,66.9,59.9,65.2,70.4,80.4,75.7,57.2,71.5,69.3,71.3,73.4,70.3,82.1,59.9,69.2,64.6,64.7,68.9,79.2,73.8,60.4,69.8,62.0,61.9,67.8,69.8,63.1,70.8,69.2,66.9,76.7,59.2,64.5,64.8,74.1,69.7,72.0,82.3,62.8,61.7,68.0,60.7,64.7,66.6,57.3
July2023,81.0,56.1,85.4,81.0,78.9,69.4,74.6,78.5,84.1,81.5,68.6,75.3,74.2,72.0,78.3,76.7,84.8,69.9,78.2,74.0,68.4,67.3,82.9,77.9,67.4,72.8,76.3,70.4,77.1,78.7,70.7,78.5,67.2,73.5,81.8,68.9,72.3,74.5,81.3,70.8,77.3,86.2,75.8,69.7,76.7,67.5,73.1,68.6,66.2
August2023,82.0,53.3,80.6,81.7,75.8,67.8,69.4,75.6,84.9,81.6,65.8,73.5,71.8,72.5,78.9,74.8,87.9,63.4,75.0,68.5,65.6,67.9,84.6,76.4,66.8,73.8,71.0,64.4,73.2,75.3,65.8,77.2,67.9,70.6,83.7,67.7,68.9,69.7,80.7,71.6,76.2,87.5,70.9,63.9,74.3,67.6,70.6,67.7,64.8
September2023,75.7,40.8,73.6,74.8,68.0,60.5,65.0,69.7,80.5,74.5,56.6,68.3,67.0,67.3,72.4,69.6,80.6,60.8,69.4,64.7,62.0,63.5,77.8,70.3,58.5,67.3,62.1,61.7,68.0,68.9,61.7,70.7,61.8,66.0,76.7,57.7,63.7,65.9,73.4,64.9,70.9,81.8,62.5,61.0,68.4,58.3,65.5,63.2,57.4
October2023,65.2,28.0,64.4,64.0,62.2,47.9,56.1,59.9,73.5,64.9,46.0,56.6,56.4,53.4,58.0,59.3,69.7,51.6,59.4,56.1,50.5,47.5,66.8,58.7,42.4,51.1,52.3,52.2,58.4,57.3,53.0,60.8,43.7,55.9,62.5,50.0,54.2,57.0,63.7,47.3,60.8,68.4,50.9,51.8,58.7,49.1,55.8,49.4,43.2
November2023,54.5,20.4,52.6,51.8,51.9,37.0,39.5,45.8,66.6,55.8,34.6,42.9,43.0,38.9,45.3,47.5,58.2,31.6,45.2,38.9,36.3,32.4,55.3,46.1,34.5,40.8,40.7,33.6,43.3,45.5,36.1,50.1,31.0,42.2,51.0,39.9,39.6,41.1,54.1,37.1,49.9,56.4,39.0,32.8,45.9,37.4,42.6,34.5,33.5
December2023,48.8,5.8,45.4,46.0,48.1,30.3,38.4,43.7,61.4,50.1,29.8,39.6,39.9,34.6,39.2,42.6,53.2,28.9,42.4,37.9,35.1,29.6,50.0,41.8,31.3,34.1,37.1,32.3,41.5,38.6,34.9,46.0,26.7,40.3,44.9,37.3,37.9,39.9,49.2,31.2,44.2,51.8,32.7,31.2,42.4,36.3,39.8,32.1,28.0
